index,wd_subclass,wdsubclass1,y_actual,y_pred_proba
FLUX108811011,DAZ,0,0,0.20666666666666667
FLUX114915125,DAZ,0,0,0.9733333333333334
FLUX116316248,DAZ,0,0,0.5866666666666667
FLUX116605087,DAZ,0,0,0.25333333333333335
FLUX120703084,DAZ,0,0,0.32
FLUX127716127,DAZ,0,0,0.16666666666666666
FLUX134108069,DAZ,0,0,0.29333333333333333
FLUX134903031,DAZ,0,0,0.3333333333333333
FLUX139804039,DAZ,0,0,0.30666666666666664
FLUX144313088,DAZ,0,0,0.41333333333333333
FLUX145303090,DAZ,0,0,0.2
FLUX157213087,DAZ,0,0,0.04
FLUX158802148,DAZ,0,0,0.3466666666666667
FLUX158814131,DAZ,0,0,0.28
FLUX158908096,DAZ,0,0,0.5066666666666667
FLUX160806194,DAZ,0,0,0.64
FLUX165902149,DAZ,0,0,0.24666666666666667
FLUX169405154,DAZ,0,0,0.19333333333333333
FLUX169413082,DAZ,0,0,0.9466666666666667
FLUX170403197,DAZ,0,0,0.32666666666666666
FLUX171111127,DAZ,0,0,0.24666666666666667
FLUX171115113,DAZ,0,0,0.36
FLUX171116118,DAZ,0,0,0.64
FLUX172713090,DAZ,0,0,0.9466666666666667
FLUX177914057,DAZ,0,0,0.30666666666666664
FLUX182014135,DAZ,0,0,0.24
FLUX183613149,DAZ,0,0,0.5266666666666666
FLUX186005111,DAZ,0,0,0.6266666666666667
FLUX186015225,DAZ,0,0,0.2
FLUX188208212,DAZ,0,0,0.48
FLUX191314199,DAZ,0,0,0.2866666666666667
FLUX195011247,DAZ,0,0,0.11333333333333333
FLUX195316139,DAZ,0,0,0.6133333333333333
FLUX197109226,DAZ,0,0,0.22
FLUX199102121,DAZ,0,0,0.3933333333333333
FLUX202108005,DAZ,0,0,0.6466666666666666
FLUX202511187,DAZ,0,0,0.28
FLUX204910132,DAZ,0,0,0.44
FLUX205511033,DAZ,0,0,0.37333333333333335
FLUX205511206,DAZ,0,0,0.13333333333333333
FLUX205511240,DAZ,0,0,0.19333333333333333
FLUX205807040,DAZ,0,0,0.16
FLUX243702202,DAZ,0,0,0.12666666666666668
FLUX243901085,DAZ,0,0,0.2733333333333333
FLUX243908130,DAZ,0,0,0.08666666666666667
FLUX208815002,DAZ,0,0,0.24666666666666667
FLUX208901069,DAZ,0,0,0.16666666666666666
FLUX218702036,DAZ,0,0,0.16666666666666666
FLUX241702190,DAZ,0,0,0.7266666666666667
FLUX243010246,DAZ,0,0,0.37333333333333335
FLUX248401100,DAZ,0,0,0.32
