source_id,logg_gspphot,logg_gspphot_upper,logg_gspphot_lower
2051280233162153856,2.8288,2.852,2.8091
2101521420562169472,3.7575,3.7644,3.7541
2073702814315139328,4.1457,4.1534,4.1373
1596886226680643328,3.8807,3.8856,3.8768
3839393689642210816,4.351,4.3581,4.3433
3353920788712391296,4.03,4.045,4.0126
3354102036334501632,4.5659,4.5752,4.5537
3069614127180337408,4.1467,4.1504,4.1431
3069614127180337408,4.1467,4.1504,4.1431
3043003403170176256,2.3053,2.5771,2.1824
3067448913911165056,3.8773,3.8781,3.877
3088408796693423104,4.3828,4.3857,4.3797
856967063566624768,4.0667,4.0749,4.0589
666748803183884032,4.322,4.3482,4.2977
3095249275143491072,3.3132,3.321,3.3028
3073511346144081408,4.3898,4.3984,4.3555
866673719719027200,4.392,4.4006,4.3835
866664408229934464,4.2954,4.3111,4.2876
3740028148076776064,4.633,4.6392,4.6266
792594025014531712,4.2725,4.2772,4.2644
1563575495421445248,2.898,2.9099,2.8874
853755596259550720,4.5686,4.5782,4.4562
2128854798591003520,4.1843,4.1871,4.1814
2086552634904294272,4.2481,4.2526,4.2437
2086939972233921024,4.1144,4.1521,4.0508
2078984284053851520,4.1567,4.1644,4.1489
2078688171831562240,4.1723,4.1862,4.1563
2076141874700637568,3.1917,3.2071,3.1773
2079164844478822400,3.9868,3.9896,3.9838
2078984662011004928,3.7333,3.739,3.7239
2078686969240726912,4.0755,4.0825,4.0674
2082255571665609856,3.9438,3.9519,3.9361
2082473996525637504,4.0864,4.0919,4.0809
2073689276577590912,4.2741,4.2886,4.262
2073689276577590912,4.2741,4.2886,4.262
2075382249608572544,4.315,4.3279,4.303
3424596193555690240,1.6592,2.1135,1.5066
2078689065184659840,2.7973,2.8613,2.7655
1801136012079571840,3.7959,3.8904,3.7782
1849262151423830784,1.9396,1.951,1.9277
1849582727783041280,4.0928,4.135,4.0289
1967072760763286272,4.0381,4.0798,3.979
1967058295313735808,3.8944,3.9029,3.8888
3452524029419534720,4.1303,4.1427,4.1176
869376078782073600,2.5788,2.6668,2.4774
1931141442314999168,4.1144,4.1231,4.1052
3069614127180337408,4.1467,4.1504,4.1431
3069614127180337408,4.1467,4.1504,4.1431
3070827953658741120,2.0495,2.0554,2.0389
978030711192354048,3.9472,3.9548,3.9394
3344289895784662272,3.3766,3.3872,3.3639
3345332164089664512,4.301,4.3075,4.2934
3345145208454877824,4.0034,4.0222,3.9445
3453191059316681344,3.0953,3.4587,2.9384
942722850203918720,2.7977,2.8317,2.7722
3145929992314961664,4.0271,4.0422,4.0147
3375522485645705472,4.1731,4.2352,4.1267
3371304174925694848,3.8378,3.8443,3.8306
4531088728043508608,4.1885,4.2186,4.1407
2127623689164849280,4.2207,4.2283,4.2143
2131000529891233920,4.0811,4.0953,4.0713
2073702054092538112,3.8843,3.9107,3.8744
2073626192096520960,3.8912,3.9149,3.8737
2073473772308047360,3.7793,3.8076,3.7574
2076373906014830208,3.8106,3.8344,3.7163
2073689276577590912,4.2741,4.2886,4.262
2073689276577590912,4.2741,4.2886,4.262
2078639484081442432,4.2082,4.218,4.1993
2078856809422854144,4.2769,4.2987,4.2184
2075575248259215616,4.0934,4.1464,4.0284
4493173924975781632,4.6274,4.6334,4.6214
2103220990657662080,4.4099,4.4136,4.4042
2099379881147883136,3.8787,3.8875,3.8689
2101224414982209152,4.002,4.0246,3.9929
2078752665057306752,1.5778,1.6093,1.5482
2067811837156779648,3.5509,3.6605,3.4317
1994986028097517312,4.1744,4.2136,4.1234
2009772741506418432,2.862,2.8849,2.8432
2013311618453181184,4.2792,4.2871,4.2663
817374023511240960,4.152,4.1576,4.1476
597059385391141120,3.164,3.1654,3.1624
4440955162834974208,4.2563,4.2609,4.2518
1362316179789651456,4.5459,4.5482,4.5432
4490294991216506624,4.4372,4.4438,4.4319
4376963547442640128,4.2208,4.2622,4.0994
2133328436523846656,3.9075,3.9239,3.8926
2126047882845454464,3.9061,3.9121,3.9037
2126629348394963456,4.0841,4.1243,4.0187
2083822375738594304,3.2858,3.3021,3.2679
2084785857158407040,3.0661,3.0792,3.0498
2106710737484424704,2.4764,2.4959,2.4355
2128127334210719616,0.8385,0.8492,0.8155
2130870989378340480,3.8892,3.9195,3.8777
2131057635775184512,2.8765,2.9053,2.8356
2129327348072084480,4.2069,4.2109,4.203
2076093148282520960,3.9567,3.9966,3.9078
2076093049511776512,4.2092,4.2313,4.1951
2080347158770362240,4.3135,4.3192,4.3075
2080257724674853376,4.2777,4.2829,4.2728
2073534863921029120,0.4414,0.4484,0.4393
2073535482396288512,3.723,3.7338,3.7077
2076372325466851456,2.0633,2.0933,1.9243
2101655423541177088,3.9782,4.0311,3.9564
2099749042175932672,3.7565,3.7884,3.7411
3122605158801920512,4.1535,4.1662,4.1416
1740846589776986880,4.0423,4.0519,4.0331
2701991624158898304,4.0932,4.1021,4.0827
1740834980479746560,4.1913,4.2137,4.1842
969707133292545152,3.3887,3.4117,3.3619
972655134420652416,4.0653,4.0712,4.0596
3021722596131964416,4.1282,4.1735,4.1079
3125607066066299264,4.1277,4.1418,4.1053
2009520433643380864,3.9956,4.0739,3.814
2009072249517518336,4.0921,4.1247,4.0697
3376708991831842432,3.7495,3.7818,3.6855
3424679726376834304,3.8691,3.9203,3.8362
3434509016731531904,4.3621,4.3665,4.3572
3066754228716902656,4.001,4.0034,4.0002
3425033734762839168,3.4214,3.435,3.4032
3370910339307241728,4.1846,4.1903,4.1791
588187941462272768,4.2557,4.2629,4.2468
1295251536772094464,3.1526,3.1779,3.146
1296047548831206144,4.5307,4.5374,4.5237
1245270005915995008,4.5019,4.505,4.4994
1399050584098625024,3.3057,3.3306,3.276
3369124942879839232,4.0792,4.1051,4.0546
3370776890381660416,2.1663,2.1744,2.1089
3375172012015098624,4.0297,4.0365,4.0177
3375240697132089728,4.0213,4.0275,4.0151
3371219409450521472,4.4654,4.4744,4.4566
652411583874952576,4.4666,4.4713,4.4563
4381390529149219840,3.2293,3.2479,3.134
3354577201455615104,3.9108,3.9248,3.8972
4553672318910219392,4.2839,4.2898,4.2781
4474729613121029504,2.413,2.4361,2.391
3838710549325041408,4.5553,4.5871,4.5371
2097809091346619136,4.3958,4.4229,4.3862
4370872944521558272,4.1412,4.1538,4.129
4372859143552945920,4.0424,4.0494,4.0346
2103871695383814272,3.8742,3.8907,3.8587
4558235871983408896,4.3415,4.3488,4.3233
2086943580005613952,3.9003,3.9467,3.8798
2089339553280447360,3.5887,3.5906,3.5857
2025041964416345728,3.8853,3.8951,3.8588
2032833967148104192,4.1404,4.155,4.1271
2032079530392602112,4.275,4.2793,4.2696
1834509041857516288,3.604,3.6183,3.586
2026836887096115072,4.422,4.426,4.4168
2036574402591699840,2.6907,2.6942,2.6824
2025288220656296960,4.2202,4.242,4.2095
2028167188783339648,3.774,3.8177,3.76
2031787953645416704,3.3612,3.4935,3.3538
1758956718812702336,4.2489,4.2614,4.2359
1760805100937879424,4.5864,4.6023,4.5803
2039463678624205440,4.3381,4.368,4.3067
2033566241884486912,4.1047,4.2873,4.0291
1790422091602858624,3.379,3.4029,3.3648
1867530812004542720,3.9924,4.0343,3.9463
1964421357190827520,4.2004,4.2068,4.1944
1953839897802740096,3.5343,3.583,3.4767
1858180049731891584,4.0901,4.1034,4.0822
1858521138853841024,4.0302,4.062,3.9855
1865639583287863424,3.9263,3.9798,3.8543
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3423625054207479424,2.1215,2.1942,2.0518
3423625054207479424,2.1215,2.1942,2.0518
3423625054207479424,2.1215,2.1942,2.0518
3423625054207479424,2.1215,2.1942,2.0518
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3375332716809805952,3.7372,3.7643,3.7169
