source_id,teff_gspphot,teff_gspphot_upper,teff_gspphot_lower
258054799222642048,7983.504,7997.2515,7537.7563
142596010900668544,8382.907,8407.51,8357.093
142322266865054976,5315.574,5332.9214,5306.1978
279797847820098560,9306.181,9403.809,9261.392
168743153324481408,6745.5396,6772.1436,6721.6816
3427558728854916096,11179.008,11226.807,11020.735
3427377580016142080,6033.689,6041.932,6025.096
3427470767924586624,7915.5117,7935.548,7876.8364
175258545694995200,8759.631,8803.158,8727.001
186827302102820864,5381.7456,5419.098,5371.182
199772161734568192,8231.734,8277.599,8190.448
191768060682753408,5117.595,5210.3164,5055.7534
188695539859095168,8187.706,8198.006,8174.2188
3444116343177399808,9086.461,9110.927,9058.222
3443716086587606400,9487.33,9642.158,9308.372
188594698326819072,4918.6904,4950.146,4874.356
188753199799377024,7974.7344,7996.2153,7794.243
273650684467981440,4342.5054,4358.519,4337.2617
273673877291550848,4570.2983,4595.9165,4553.039
421535376363921408,6851.1006,6867.0474,6834.2266
421434564892447232,4783.0103,4787.3975,4779.8633
421694599392210688,6374.4243,6399.199,6334.7183
421884505666696832,9045.436,9062.678,9031.721
392577091943195392,5409.1323,5422.9937,5400.2427
246104413502721152,10506.029,10725.733,10363.37
258186495801227648,8505.538,8591.961,8325.332
384101918875635328,6518.3003,6530.9946,6507.6274
267540213018590464,8412.126,8478.862,8244.755
221406221242119168,5120.7705,5125.74,5115.744
246672517414921856,9933.324,9977.747,9861.532
245141791070173824,6543.739,6565.415,6512.366
245071078729367552,6878.638,6894.365,6863.418
232242939131027840,7915.129,7990.4097,7338.2856
232028500004568576,8990.631,9000.522,8881.734
212549208404418688,4731.7354,4737.5654,4725.9824
170619057603154944,4742.1763,4765.688,4630.994
170551849952950016,6453.2744,6476.645,6409.5713
3403417297503151232,3865.4211,3871.6543,3860.4207
67512457784646144,5288.8237,5346.215,5245.52
447111322494603520,7697.77,7704.7334,7691.417
3334330583882132096,6145.1636,6162.1123,6124.4478
3337495321945609984,7187.003,7198.0195,7177.682
3237625963535546368,6542.776,6554.5894,6529.1484
3443456533121231616,8595.764,8599.497,8587.472
186983845071869952,5133.014,5145.45,5129.538
163316548045571328,5755.8936,5759.5664,5752.5327
283831681102863488,5828.8105,5841.2075,5811.5186
283731041429647360,6714.5674,6746.7505,6686.519
263968724372345856,6255.62,6264.0225,6248.0522
403206242646610688,6176.8315,6184.439,6168.888
404219816272132224,5501.932,5516.9463,5488.836
404781121255757824,7050.968,7062.14,7039.3105
404549738479763200,6002.481,6016.694,5987.1978
2550610210411323648,4559.252,4564.0527,4554.806
410684983301383808,9258.977,9284.381,9208.109
447054216609787264,4701.1567,4717.54,4688.1904
210805108083143296,6445.3257,6483.123,6418.8286
3395055305413987328,4867.2485,4884.3555,4845.448
3213946228284610176,6591.2217,6600.346,6581.488
435886786245141504,6446.7446,6458.775,6435.44
435432516141525376,7198.375,7215.1187,7182.688
257217486758701696,7773.3687,7899.8354,7711.8555
344044373813114240,5950.491,5980.214,5919.73
169591014230058240,8476.698,8527.161,8219.366
