source_id,mh_gspphot,mh_gspphot_upper,mh_gspphot_lower
451331522997708160,-0.2029,-0.1955,-0.2092
3288215966701626880,-0.0728,-0.0687,-0.0769
65858100803946880,-0.1601,-0.1598,-0.1606
65858100803946880,-0.1601,-0.1598,-0.1606
3223798054331214848,-0.6863,-0.6732,-0.6988
3237018483360935936,-0.2706,-0.2483,-0.3111
3236127741503852544,-0.39,-0.3804,-0.3996
66429095235642880,-0.0662,-0.0246,-0.0979
66429095235642880,-0.0662,-0.0246,-0.0979
67065918624695808,-0.6069,-0.5862,-0.645
65858100803946880,-0.1601,-0.1598,-0.1606
65858100803946880,-0.1601,-0.1598,-0.1606
65755816160672896,-0.0101,-0.0099,-0.0103
65755816160672896,-0.0101,-0.0099,-0.0103
66429095235642880,-0.0662,-0.0246,-0.0979
66429095235642880,-0.0662,-0.0246,-0.0979
65755816160672896,-0.0101,-0.0099,-0.0103
65755816160672896,-0.0101,-0.0099,-0.0103
236479701025974144,0.0556,0.0644,0.0433
3403212414679584256,0.0201,0.0387,0.0088
3411603165867005568,-0.4441,-0.4342,-0.4534
3411992835364907264,-0.3014,-0.2819,-0.3288
3413536588344534144,-0.5549,-0.5296,-0.5759
3444039544866394112,-1.3223,-1.2273,-1.3698
731913936781506816,-0.8521,-0.8325,-0.8655
3158215827870080128,-0.1867,-0.0897,-0.2326
3351386831026078720,-1.4939,-1.3739,-1.5695
3127724897261010688,-0.1279,-0.127,-0.129
958976522576778240,-0.5061,-0.4915,-0.5201
958958621153390336,-0.3312,-0.3199,-0.342
964286918923684992,-0.5138,-0.4793,-0.9524
2080258411869318784,-0.5792,-0.5467,-0.6083
2051009100467816832,-0.2351,-0.2176,-0.2499
2052878476392866432,-0.266,-0.2379,-0.274
2051852460247410048,-0.2126,-0.2063,-0.22
2052721555469759744,-0.029,-0.01,-0.0478
2051280233162153856,-1.749,-1.7076,-1.8328
2101521420562169472,-0.5851,-0.5797,-0.589
2073702814315139328,0.1447,0.1661,0.1263
1596886226680643328,-0.4724,-0.466,-0.4788
3839393689642210816,-0.5985,-0.5854,-0.6102
3353920788712391296,-0.307,-0.1672,-0.3726
3354102036334501632,-0.2241,-0.19,-0.2684
3069614127180337408,-0.1271,-0.1214,-0.1318
3069614127180337408,-0.1271,-0.1214,-0.1318
